title,date,raw_date,place,summary,url,supplements
Телефонный разговор с Президентом ОАЭ Мухаммедом Аль Нахайяном,2025-03-24,24 марта 2025 года,No location,"Состоялся
телефонный разговор Владимира Путина с Президентом Объединённых Арабских
Эмиратов Мухаммедом Бен Заидом Аль Нахайяном.",http://kremlin.ru/events/president/news/76521,[]
Встреча с губернатором Краснодарского края Вениамином Кондратьевым,2025-03-24,24 марта 2025 года,"Москва, Кремль","Владимир
Путин провёл рабочую встречу с губернатором Краснодарского края Вениамином
Кондратьевым.",http://kremlin.ru/events/president/news/76519,[]
Объявлены лауреаты премий Президента для молодых деятелей культуры и за произведения для детей и юношества 2024 года,2025-03-24,24 марта 2025 года,Москва,"Имена лауреатов премий Президента молодым деятелям культуры 2024 года
и премий Президента в области литературы и искусства
за произведения для детей и юношества 2024 года на специальном брифинге объявили помощник Президента, секретарь Совета при Президенте по культуре и искусству Владимир Мединский и заместитель председателя Совета при Президенте по культуре и искусству Карен Шахназаров.",http://kremlin.ru/events/president/news/76516,"[{'title': 'No title', 'date': None, 'content': 'О\xa0лауреатах премии Президента Российской Федерации для молодых деятелей культуры 2024\xa0года  24 марта 2025 года     Алексей\nМихайлович Капустин\xa0– лауреат премии Президента Российской Федерации для\nмолодых деятелей культуры 2024\xa0годаПремия\nПрезидента Российской Федерации присуждена за\xa0вклад в\xa0сохранение и\xa0развитие\nтрадиций отечественной архитектуры.Алексей\nМихайлович Капустин\xa0– директор Проектно-научного центра классической и\xa0традиционной архитектуры Московского архитектурного института.А.Капустин\nродился 7\xa0февраля 1993\xa0года в\xa0Москве. Отмечен профессиональными и\xa0общественными наградами. Окончил Московский архитектурный институт\xa0(2016),\nмагистратуру\xa0(2018). Преподаватель, доцент МАРХИ. Советник Российской\nакадемии архитектуры и\xa0строительных наук. Основное\nнаправление работы А.Капустина\xa0– возрождение и\xa0развитие традиционной\nархитектуры, реставрация и\xa0реконструкция утраченных памятников культуры, а\xa0также проектирование новых объектов в\xa0духе исторических традиций.А.Капустин\xa0– автор реализованных проектов восстановления исторических зданий,\nблагоустройства мемориальных парков, музейных пространств, исторических городов\nи\xa0монастырей, среди которых исторические центры городов и\xa0сёл, кластер «Арзамас–Саров–Дивеево»,\nПсково-Печерский монастырь, храмы в\xa0Москве, Нижегородской области, Боснии и\xa0Герцеговине, разрушенные храмы в\xa0Новороссии.А.Капустин\xa0– организатор и\xa0эксперт федеральных и\xa0международных форумов, экспозиции «Храмовое\nзодчество» в\xa0рамках выставки «Россия» на\xa0ВДНХ. Он также автор научных статей,\nучебных пособий, популяризатор архитектуры.Иван\nМихайлович Никифорчин\xa0– лауреат премии Президента Российской Федерации для\nмолодых деятелей культуры 2024\xa0годаПремия\nПрезидента Российской Федерации присуждена за\xa0вклад в\xa0развитие отечественной\nмузыкальной культуры.Иван\nМихайлович Никифорчин\xa0– художественный руководитель Московского\nгосударственного академического симфонического оркестра.И.Никифорчин\nродился 15\xa0февраля 1995\xa0года в\xa0Москве. Окончил Московскую\nгосударственную консерваторию\xa0(2020), аспирантуру консерватории\xa0(2022).\nЛауреат всероссийских и\xa0международных конкурсов, отмечен авторитетными\nмеждународными наградами.И.Никифорчин\xa0– один из\xa0самых востребованных молодых музыкантов, обладающий уникальным\nвосприятием звука, музыкальной пластики и\xa0движения, высокой ансамблевой\nкультурой. Создатель «Академии русской музыки»\xa0– уникального коллектива,\nобъединившего хор и\xa0камерный оркестр, исполнившего за\xa0последние семь лет\nбольшое количество премьер, отмеченных интересным репертуаром и\xa0высоким\nкачеством исполнения.Среди\nколлективов, с\xa0которыми постоянно сотрудничает дирижёр,\xa0– ведущие оркестры\nстраны, выдающиеся музыканты-солисты. И.Никифорчин\xa0– музыкальный руководитель и\xa0режиссёр-постановщик спектаклей в\xa0Большом театре\nРоссии и\xa0Московском академическом музыкальном театре имени К.С.Станиславского и\xa0В.И.Немировича-Данченко. Преподаватель кафедры оперно-симфонического\nдирижирования Московской государственной консерватории.В\xa02024\xa0году назначен художественным руководителем одного из\xa0старейших\nакадемических коллективов России\xa0– Московского государственного академического\nсимфонического оркестра.Рената\nМухаметовна Шакирова\xa0– лауреат премии Президента Российской Федерации для\nмолодых деятелей культуры 2024\xa0годаПремия\nПрезидента Российской Федерации присуждена за\xa0сохранение и\xa0приумножение\nтрадиций отечественного хореографического искусства, вклад в\xa0популяризацию\nрусского искусства.Рената\nМухаметовна Шакирова\xa0– солистка балета, прима-балерина Государственного\nакадемического Мариинского театраР.Шакирова\nродилась 5\xa0апреля 1995\xa0года в\xa0Ташкенте, Республика Узбекистан.\nОкончила Академию русского балета имени А.Я.Вагановой\xa0(2015). Отмечена\nпремией Союза театральных деятелей России, премией «Золотой софит»,\nпобедительница телепроекта «Большой балет» телеканала «Россия-Культура». Ещё\nбудучи студенткой, исполняла сольные партии в\xa0балетах Мариинского театра. За\xa0девять лет сценической карьеры исполнила ведущие партии во\xa0многих спектаклях\nрепертуара Мариинского театра, демонстрируя лучшие традиции петербургской школы,\nэмоциональность, артистизм.Уникальные\nприродные данные и\xa0хорошая профессиональная подготовка позволяют ей с\xa0лёгкостью\nсправляться с\xa0техническими сложностями как классической, так и\xa0современной\nхореографии. Балерина\nсоздаёт интересные интерпретации классических партий\xa0– харизматичная Китри в\xa0«Дон Кихоте», свободолюбивая Кармен в\xa0«Кармен-сюите», яркий «рубин» в\xa0«Драгоценностях», порывистая Джульетта, мечтательная Маша в\xa0«Щелкунчике»,\nнежная Ширин в\xa0«Легенде о\xa0любви».Р.Шакирова\nрегулярно принимает участие в\xa0спектаклях Приморской сцены Мариинского театра,\nблаготворительных концертах.   Смотрите также  Объявлены лауреаты премий Президента для молодых деятелей культуры и\xa0за\xa0произведения для детей и\xa0юношества 2024\xa0года 24 марта 2025 года   Вручение премий Президента молодым деятелям культуры и\xa0за\xa0произведения для детей 25 марта 2025 года', 'url': 'http://kremlin.ru/supplement/6283'}, {'title': 'No title', 'date': None, 'content': 'О\xa0лауреатах премии Президента Российской Федерации в\xa0области литературы и\xa0искусства за\xa0произведения для детей и\xa0юношества 2024\xa0года  24 марта 2025 года     Ольга\nРомуальдовна Ионайтис\xa0– лауреат премии Президента Российской Федерации в\xa0области литературы и\xa0искусства за\xa0произведения для детей и\xa0юношества\n2024\xa0годаПремия\nПрезидента Российской Федерации присуждена за\xa0вклад в\xa0развитие отечественного\nискусства иллюстрации детской книги.Ольга\nРомуальдовна Ионайтис\xa0– художник-иллюстратор.О.Ионайтис\nродилась 1\xa0ноября 1965\xa0года в\xa0г.\xa0Мытищи Московской области. Член\nСоюза художников России. Награждена профессиональными наградами.О.Ионайтис\nболее 30\xa0лет работает в\xa0области книжной графики, оформила и\xa0проиллюстрировала более 150\xa0книг, в\xa0том числе Ч.Диккенса, Дж.Р.Толкина,\nП.Бажова, Ш.Перро, Н.Гоголя, С.Маршака, Г.Х.Андерсена.Её\nиллюстрациям свойственны особая романтика зрительных образов, обширное знание\nматериала и\xa0эпохи, уважение к\xa0авторскому тексту.Высокий\nпрофессиональный уровень, тактичная работа с\xa0выразительными средствами,\nглубокое понимание детской аудитории позволяет О.Ионайтис создавать\nзапоминающиеся образы литературных героев. Художник\nсотрудничает с\xa0журналами «Детская Роман-газета», «Мурзилка». Активно\nпопуляризирует отечественную иллюстрацию, организуя выставки российских\nиллюстраторов.Леонид\nВладимирович Рожников\xa0– лауреат премии Президента Российской Федерации в\xa0области литературы и\xa0искусства за\xa0произведения для детей и\xa0юношества\n2024\xa0годаПремия\nПрезидента Российской Федерации присуждена за\xa0вклад в\xa0развитие отечественной\nлитературы для детей и\xa0юношества, просветительскую деятельность.Л.Рожников\nродился 2\xa0августа 1973\xa0года в\xa0Москве. Награждён профессиональными\nнаградами. Кандидат юридических наук.Автор\n10\xa0литературных произведений для детей. Автор идеи и\xa0создатель серии\nподробных иллюстрированных комментариев для детей и\xa0юношества «Книга в\xa0книге.\nПодробный иллюстрированный комментарий», насчитывающей более 25\xa0изданий,\nпосвящённых произведениям классиков русской литературы. Популярное двухтомное издание\n«История России, пересказанная для детей и\xa0взрослых» отличает оригинальная\nманера подачи материала, живой язык автора, богатый иллюстративный и\xa0справочный\nматериал. Суммарный тираж изданий составляет более 200\xa0тысяч экземпляров.С\xa02007\xa0года Л.Рожников возглавляет издательство «Проспект»\xa0– одно из\xa0крупнейших издательских предприятий, выпускающее книги по\xa0праву, экономике,\nпсихологии, философии, иностранным языкам, математике, истории, культурологии.\nИздаваемая литература по\xa0всем направлениям насчитывает свыше\n500\xa0наименований при суммарном тираже более трёх миллионов экземпляров в\xa0год.Коллектив\nАнсамбля песни и\xa0пляски имени В.Локтева государственного бюджетного\nобразовательного учреждения г.\xa0Москвы «Воробьёвы горы»Леонид\nМихайлович Фрадкин\xa0– лауреат премии Президента Российской Федерации в\xa0области\nлитературы и\xa0искусства за\xa0произведения для детей и\xa0юношества 2024\xa0годаМарина\nИгоревна Егорова\xa0– лауреат премии Президента Российской Федерации в\xa0области\nлитературы и\xa0искусства за\xa0произведения для детей и\xa0юношества 2024\xa0годаАнна\nВладимировна Аверьяненко\xa0– лауреат премии Президента Российской Федерации в\xa0области литературы и\xa0искусства за\xa0произведения для детей и\xa0юношества\n2024\xa0годаПремия\nПрезидента Российской Федерации присуждена за\xa0вклад в\xa0развитие культурного и\xa0патриотического воспитания подрастающего поколения.Леонид\nМихайлович Фрадкин\xa0– художественный руководитель Ансамбля песни и\xa0пляски имени\nВ.Локтева.Марина\nИгоревна Егорова\xa0– главный балетмейстер Ансамбля песни и\xa0пляски имени\nВ.Локтева.Анна\nВладимировна Аверьяненко\xa0– главный хормейстер Ансамбля песни и\xa0пляски имени\nВ.Локтева.Л.Фрадкин\nродился 23\xa0ноября 1956\xa0года в\xa0г.\xa0Дмитриеве Курской области.\nЗаслуженный работник культуры Российской Федерации, отмечен ведомственными,\nрегиональными и\xa0религиозными наградами. Возглавляет ансамбль с\xa02012\xa0года.М.Егорова\nродилась 5\xa0февраля 1963\xa0года в\xa0Москве. Заслуженный работник культуры\nРоссийской Федерации, отмечена ведомственной наградой. Выпускница ансамбля,\nработает в\xa0ансамбле с\xa01982\xa0года и\xa0более 20\xa0лет является главным\nбалетмейстером.А.Аверьяненко\nродилась 31\xa0июля 1987\xa0года в\xa0Москве. Отмечена ведомственной и\xa0региональной наградами. Выпускница ансамбля, работает в\xa0ансамбле с\xa02005\xa0года.Уникальный\nдетский коллектив, состоящий из\xa0хора, оркестра и\xa0хореографической группы,\nсоздан по\xa0инициативе А.Александрова в\xa01937\xa0году. Несколько\nпоколений воспитанников приобщаются к\xa0лучшим образцам мирового музыкального и\xa0танцевального искусства, великому историческому и\xa0музыкальному наследию России,\nподлинным идеалам духовности и\xa0нравственности. Деятельность\nпедагогического коллектива отличает многолетний практический опыт,\nиндивидуальный подход к\xa0каждому ребёнку, высокая квалификация в\xa0вопросах\nметодики, обширность и\xa0разнообразие репертуара. Участникам ансамбля прививают\nлюбовь к\xa0лучшим образцам мирового музыкального и\xa0танцевального искусства,\nвоспитывают в\xa0них трудолюбие, умение дружить, уважение к\xa0профессии, приобщают к\xa0великому историческому и\xa0музыкальному наследию России.   Смотрите также  Объявлены лауреаты премий Президента для молодых деятелей культуры и\xa0за\xa0произведения для детей и\xa0юношества 2024\xa0года 24 марта 2025 года   Вручение премий Президента молодым деятелям культуры и\xa0за\xa0произведения для детей 25 марта 2025 года', 'url': 'http://kremlin.ru/supplement/6282'}]"
Телефонный разговор с Эмиром Катара Тамимом Бен Хамадом Аль Тани,2025-03-21,21 марта 2025 года,No location,"Состоялся
телефонный разговор Владимира Путина с Эмиром
Государства Катар Тамимом Бен Хамадом Аль Тани.",http://kremlin.ru/events/president/news/76513,[]
Совещание с постоянными членами Совета Безопасности,2025-03-21,21 марта 2025 года,"Москва, Кремль","Владимир Путин провёл
по видеосвязи оперативное совещание с постоянными членами Совета
Безопасности.",http://kremlin.ru/events/president/news/76505,[]
"Владимир Путин направил поздравления по случаю праздника Навруз президентам Азербайджана, Казахстана, Киргизии, Таджикистана, Туркменистана и Узбекистана",2025-03-21,21 марта 2025 года,No location,"Президент России направил тёплые поздравления по случаю
весеннего праздника Навруз Президенту Азербайджанской Республики Ильхаму
Алиеву, Президенту Республики Казахстан Касым-Жомарту Токаеву, Президенту
Киргизской Республики Садыру Жапарову, Президенту Республики Таджикистан Эмомали
Рахмону, Президенту Туркменистана Сердару Бердымухамедову и Президенту
Республики Узбекистан Шавкату Мирзиёеву.",http://kremlin.ru/events/president/news/76503,[]
Телефонный разговор с Президентом Республики Беларусь Александром Лукашенко,2025-03-20,20 марта 2025 года,No location,"Состоялся телефонный
разговор Владимира Путина с Президентом
Республики Беларусь Александром Лукашенко.",http://kremlin.ru/events/president/news/76497,[]
Встреча с губернатором Костромской области Сергеем Ситниковым,2025-03-20,20 марта 2025 года,"Москва, Кремль","Глава региона информировал Президента о мерах
поддержки участников СВО, проектах в области промышленности и транспортной
инфраструктуры, развитии сельского хозяйства, состоянии сферы образования и подготовке кадров. Особое внимание уделено местному здравоохранению и демографии.",http://kremlin.ru/events/president/news/76488,[]
Президент России направил послание главе сирийского государства Ахмеду Шараа,2025-03-20,20 марта 2025 года,No location,,http://kremlin.ru/events/president/news/76489,[]
Расширенное заседание коллегии Генеральной прокуратуры,2025-03-19,19 марта 2025 года,Москва,"Глава
государства принял участие в расширенном заседании коллегии Генеральной
прокуратуры Российской Федерации.",http://kremlin.ru/events/president/news/76484,[]
