title,date,raw_date,place,summary,url,supplements
Совещание с постоянными членами Совета Безопасности,2025-01-10,10 января 2025 года,"Московская область, Ново-Огарёво","Владимир Путин по видеосвязи провёл оперативное совещание с постоянными
членами Совета Безопасности.",http://kremlin.ru/events/president/news/76095,[]
Совещание с членами Правительства,2025-01-09,9 января 2025 года,"Московская область, Ново-Огарёво","Президент в режиме видеоконференции провёл
совещание с членами Правительства.",http://kremlin.ru/events/president/news/76094,"[{'title': 'No title', 'date': None, 'content': 'Участники совещания с\xa0членами Правительства (в\xa0режиме видеоконференции)  9 января 2025 года     Постоянные участники:МИШУСТИН Михаил Владимирович\xa0– Председатель Правительства Российской ФедерацииВАЙНО Антон Эдуардович\xa0– Руководитель Администрации Президента Российской ФедерацииМАНТУРОВ Денис Валентинович\xa0– Первый заместитель Председателя Правительства Российской Федерации КИРИЕНКО Сергей Владиленович\xa0– первый заместитель Руководителя Администрации Президента Российской ФедерацииОРЕШКИН Максим Станиславович\xa0– заместитель Руководителя Администрации Президента Российской ФедерацииГОЛИКОВА Татьяна Алексеевна\xa0– Заместитель Председателя Правительства Российской ФедерацииГРИГОРЕНКО Дмитрий Юрьевич\xa0– Заместитель Председателя Правительства Российской Федерации\xa0– Руководитель Аппарата Правительства Российской ФедерацииНОВАК Александр Валентинович\xa0– Заместитель Председателя Правительства Российской ФедерацииОВЕРЧУК Алексей Логвинович\xa0– Заместитель Председателя Правительства Российской ФедерацииПАТРУШЕВ Дмитрий Николаевич\xa0– Заместитель Председателя Правительства Российской ФедерацииСАВЕЛЬЕВ Виталий Геннадьевич\xa0– Заместитель Председателя Правительства Российской ФедерацииТРУТНЕВ Юрий Петрович\xa0– Заместитель Председателя Правительства Российской Федерации\xa0– полномочный представитель Президента Российской Федерации в\xa0Дальневосточном федеральном округеХУСНУЛЛИН Марат Шакирзянович\xa0– Заместитель Председателя Правительства Российской ФедерацииЧЕРНЫШЕНКО Дмитрий Николаевич\xa0– Заместитель Председателя Правительства Российской ФедерацииРЕШЕТНИКОВ Максим Геннадьевич\xa0– Министр экономического развития Российской ФедерацииСИЛУАНОВ Антон Германович\xa0– Министр финансов Российской ФедерацииПриглашённые:КОЗЛОВ Александр Александрович\xa0– Министр природных ресурсов и\xa0экологии Российской ФедерацииКУРЕНКОВ Александр Вячеславович\xa0– Министр Российской Федерации по\xa0делам гражданской обороны, чрезвычайным ситуациям и\xa0ликвидации последствий стихийных бедствийЛЮБИМОВА Ольга Борисовна\xa0–Министр культуры Российской ФедерацииМУРАШКО Михаил Альбертович\xa0– Министр здравоохранения Российской ФедерацииРАДИОНОВА Светлана Геннадьевна\xa0– Руководитель Федеральной службы по\xa0надзору в\xa0сфере природопользованияСТАРОВОЙТ Роман Владимирович\xa0– Министр транспорта Российской ФедерацииЦИВИЛЕВ Сергей Евгеньевич\xa0– Министр энергетики Российской ФедерацииФАЙЗУЛЛИН Ирек Энварович\xa0– Министр строительства и\xa0жилищно-коммунального хозяйства Российской ФедерацииТЕКСЛЕР Алексей Леонидович\xa0– губернатор Челябинской области, председатель комиссии Государственного Совета Российской Федерации по\xa0направлению «Экономика и\xa0финансы»   Смотрите также  Совещание с\xa0членами Правительства 9 января 2025 года', 'url': 'http://kremlin.ru/supplement/6253'}]"
Владимир Путин поговорил по телефону с Ариной Порхал,2025-01-07,7 января 2025 года,No location,"Владимир Путин
позвонил девятикласснице Арине Порхал из Горловки – участнице благотворительной акции «Ёлка желаний».",http://kremlin.ru/events/president/news/76088,[]
Поздравление с Рождеством Христовым,2025-01-07,7 января 2025 года,No location,"Владимир Путин поздравил православных христиан, всех граждан России, празднующих Рождество Христово.",http://kremlin.ru/events/president/news/76087,[]
Новогоднее обращение к гражданам России,2024-12-31,31 декабря 2024 года,"Москва, Кремль",,http://kremlin.ru/events/president/news/76073,[]
Президент заслушал доклады о ходе СВО и поздравил военнослужащих с наступающим Новым годом,2024-12-31,31 декабря 2024 года,No location,,http://kremlin.ru/events/president/news/76074,[]
Поздравление главам государств и правительств с Новым годом,2024-12-30,30 декабря 2024 года,No location,"Владимир Путин тепло
поздравил с Рождеством и наступающим новым, 2025 годом руководителей целого ряда
государств.",http://kremlin.ru/events/president/news/76067,[]
Телефонный разговор с Президентом Казахстана Касым-Жомартом Токаевым,2024-12-28,28 декабря 2024 года,No location,По инициативе российской стороны состоялся телефонный разговор Владимира Путина с Президентом Республики Казахстан Касым-Жомартом Токаевым.,http://kremlin.ru/events/president/news/76015,[]
Телефонный разговор с Президентом Азербайджана Ильхамом Алиевым,2024-12-28,28 декабря 2024 года,No location,По инициативе российской стороны состоялся телефонный разговор Владимира Путина с Президентом Азербайджанской Республики Ильхамом Алиевым.,http://kremlin.ru/events/president/news/76003,[]
Совещание с постоянными членами Совета Безопасности,2024-12-28,28 декабря 2024 года,"Москва, Кремль","Владимир
Путин по видеосвязи провёл оперативное совещание с постоянными членами Совета
Безопасности.",http://kremlin.ru/events/president/news/75993,[]
Встреча с главой МЧС Александром Куренковым,2024-12-27,27 декабря 2024 года,"Москва, Кремль","Владимир
Путин провёл рабочую встречу с Министром по делам гражданской
обороны, чрезвычайным ситуациям и ликвидации последствий стихийных
бедствий Александром Куренковым.",http://kremlin.ru/events/president/news/75982,[]
Видеообращение по случаю Дня спасателя,2024-12-27,27 декабря 2024 года,No location,,http://kremlin.ru/events/president/news/75978,[]
Ответы на вопросы журналистов,2024-12-26,26 декабря 2024 года,Ленинградская область,"По окончании заседания
Высшего Евразийского экономического совета Владимир Путин ответил на вопросы
российских журналистов.",http://kremlin.ru/events/president/news/75974,[]
Заседание Высшего Евразийского экономического совета,2024-12-26,26 декабря 2024 года,Ленинградская область,"В Ленинградской области прошло заседание
Высшего Евразийского экономического совета.",http://kremlin.ru/events/president/news/75948,[]
Владимир Путин поговорил по телефону с Таисией Леоновой,2024-12-26,26 декабря 2024 года,No location,"Президент
позвонил 12-летней Таисии Леоновой из Московской области – участнице
благотворительной акции «Ёлка желаний».",http://kremlin.ru/events/president/news/75947,[]
Неформальная встреча глав государств СНГ,2024-12-25,25 декабря 2024 года,Ленинградская область,В Ленинградской области состоялась неформальная встреча руководителей государств – участников Содружества Независимых Государств.,http://kremlin.ru/events/president/news/75942,[]
Встреча с Президентом Таджикистана Эмомали Рахмоном,2024-12-24,24 декабря 2024 года,Ленинградская область,"В Ленинградской области прошли переговоры
Владимира Путина с Президентом Республики Таджикистан Эмомали Рахмоном,
который находится в России с рабочим визитом.",http://kremlin.ru/events/president/news/75940,[]
Встреча с генеральным директором Государственного Эрмитажа Михаилом Пиотровским,2024-12-24,24 декабря 2024 года,Санкт-Петербург,"Президент встретился с генеральным директором Государственного Эрмитажа
Михаилом Пиотровским.",http://kremlin.ru/events/president/news/75939,[]
Посещение Государственного Эрмитажа,2024-12-24,24 декабря 2024 года,Санкт-Петербург,"Владимир
Путин посетил Государственный Эрмитаж и вручил
генеральному директору музея Михаилу Пиотровскому орден «За заслуги перед
Отечеством» I степени.",http://kremlin.ru/events/president/news/75938,[]
Владимир Путин поговорил по телефону с Маргаритой Руцинской,2024-12-24,24 декабря 2024 года,No location,"Президент
пообщался по телефону с 10-летней Маргаритой Руцинской из города
Шебекина Белгородской области – участницей благотворительной акции «Ёлка
желаний».",http://kremlin.ru/events/president/news/75936,[]
Совещание с членами Правительства,2025-01-23,23 января 2025 года,"Московская область, Ново-Огарёво","Президент в режиме
видеоконференции провёл совещание с членами Правительства.",http://kremlin.ru/events/president/news/76148,"[{'title': 'No title', 'date': None, 'content': 'Участники совещания с\xa0членами Правительства (в\xa0режиме видеоконференции)  23 января 2025 года     Постоянные участники:ВАЙНО Антон Эдуардович\xa0– Руководитель Администрации\nПрезидента Российской ФедерацииМАНТУРОВ Денис Валентинович\xa0– Первый заместитель\nПредседателя Правительства Российской Федерации ГОЛИКОВА Татьяна Алексеевна\xa0– Заместитель Председателя\nПравительства Российской ФедерацииГРИГОРЕНКО Дмитрий Юрьевич\xa0– Заместитель Председателя\nПравительства Российской Федерации\xa0– Руководитель Аппарата Правительства\nРоссийской ФедерацииНОВАК Александр Валентинович\xa0– Заместитель Председателя\nПравительства Российской ФедерацииОВЕРЧУК Алексей Логвинович\xa0– Заместитель Председателя\nПравительства Российской ФедерацииПАТРУШЕВ Дмитрий Николаевич\xa0– Заместитель Председателя\nПравительства Российской ФедерацииСАВЕЛЬЕВ Виталий Геннадьевич\xa0– Заместитель Председателя\nПравительства Российской ФедерацииТРУТНЕВ Юрий Петрович\xa0– Заместитель Председателя\nПравительства Российской Федерации\xa0– полномочный представитель Президента\nРоссийской Федерации в\xa0Дальневосточном федеральном округеХУСНУЛЛИН Марат Шакирзянович\xa0– Заместитель Председателя\nПравительства Российской ФедерацииЧЕРНЫШЕНКО Дмитрий Николаевич\xa0– Заместитель Председателя\nПравительства Российской ФедерацииОРЕШКИН Максим Станиславович\xa0– заместитель Руководителя\nАдминистрации Президента Российской ФедерацииРЕШЕТНИКОВ Максим Геннадьевич\xa0– Министр экономического\nразвития Российской ФедерацииСИЛУАНОВ Антон Германович\xa0– Министр финансов Российской\nФедерацииПриглашённые:КРАСНОВ Игорь Викторович\xa0– Генеральный прокурор Российской\nФедерацииДЮМИН Алексей Геннадьевич\xa0– помощник Президента Российской\nФедерацииЭДЕЛЬГЕРИЕВ Руслан Сайд-Хусайнович\xa0– помощник Президента\nРоссийской ФедерацииКУРЕНКОВ Александр Вячеславович\xa0– Министр Российской\nФедерации по\xa0делам гражданской обороны, чрезвычайным ситуациям и\xa0ликвидации\nпоследствий стихийных бедствийКОЗЛОВ Александр Александрович\xa0– Министр природных ресурсов\nи\xa0экологии Российской ФедерацииКОТЯКОВ Антон Олегович\xa0– Министр труда и\xa0социальной защиты\nРоссийской ФедерацииСТАРОВОЙТ Роман Владимирович\xa0– Министр транспорта Российской\nФедерацииФАЙЗУЛЛИН Ирек Энварович\xa0– Министр строительства и\xa0жилищно-коммунального хозяйства Российской ФедерацииАКСЁНОВ Сергей Валерьевич\xa0– глава Республики КрымКОНДРАТЬЕВ Вениамин Иванович\xa0– губернатор Краснодарского\nкраяПАСЛЕР Денис Владимирович\xa0– губернатор Оренбургской областиРАЗВОЖАЕВ Михаил Владимирович\xa0– губернатор города\nСевастополя   Смотрите также  Совещание с\xa0членами Правительства 23 января 2025 года', 'url': 'http://kremlin.ru/supplement/6261'}]"
Телефонный разговор с Президентом Республики Гвинея-Бисау Умару Сиссоку Эмбало,2025-01-23,23 января 2025 года,No location,"Состоялся
телефонный разговор Владимира Путина с Президентом Республики Гвинея-Бисау Умару Сиссоку Эмбало.",http://kremlin.ru/events/president/news/76149,[]
Заседание наблюдательного совета АСИ,2025-01-23,23 января 2025 года,"Московская область, Ново-Огарёво","Владимир Путин
в режиме видеоконференции провёл заседание наблюдательного совета
автономной некоммерческой организации «Агентство стратегических инициатив
по продвижению новых проектов».",http://kremlin.ru/events/president/news/76147,"[{'title': 'No title', 'date': None, 'content': 'Участники заседания наблюдательного совета Агентства стратегических инициатив (в\xa0режиме видеоконференции)  23 января 2025 года     НОВАК Александр Валентинович\xa0– Заместитель Председателя\nПравительства Российской ФедерацииОРЕШКИН Максим Станиславович\xa0– Заместитель Руководителя\nАдминистрации Президента Российской ФедерацииДЮМИН Алексей Геннадьевич\xa0– помощник Президента Российской\nФедерацииАЛИХАНОВ Антон Андреевич\xa0– Министр промышленности и\xa0торговли\nРоссийской ФедерацииРЕШЕТНИКОВ Максим Геннадьевич\xa0– Министр экономического\nразвития Российской ФедерацииМИННИХАНОВ Рустам Нургалиевич\xa0– глава Республики ТатарстанНИКИТИН Андрей Сергеевич\xa0– губернатор Новгородской областиСОБЯНИН Сергей Семёнович\xa0– мэр МосквыГРЕФ Герман Оскарович\xa0– президент, председатель правления\nПАО «Сбербанк»КАЛИНИН Александр Сергеевич\xa0– президент Общероссийской\nобщественной организации малого и\xa0среднего предпринимательства «Опора России»КАТЫРИН Сергей Николаевич\xa0– президент Торгово-промышленной\nпалаты Российской ФедерацииКОМИССАРОВ Алексей Геннадьевич\xa0– ректор ФГБОУ ВО\xa0«Российская\nакадемия народного хозяйства и\xa0государственной службы при Президенте Российской\nФедерации»РЕПИК Алексей Евгеньевич\xa0– председатель Общероссийской\nобщественной организации «Деловая Россия»ЧУПШЕВА Светлана Витальевна\xa0– генеральный директор АНО\n«Агентство стратегических инициатив по\xa0продвижению новых проектов»ШОХИН Александр Николаевич\xa0– президент Общероссийской\nобщественной организации «Российский союз промышленников и\xa0предпринимателей»ШУВАЛОВ Игорь Иванович\xa0– председатель Государственной\nкорпорации развития «ВЭБ.РФ», председатель экспертного совета АНО «Агентство\nстратегических инициатив по\xa0продвижению новых проектов»Приглашённые:ТИТОВ Борис Юрьевич\xa0– специальный представитель Президента\nРоссийской Федерации по\xa0связям с\xa0международными организациями для достижения\nцелей устойчивого развитияБЕЛОЗЁРОВ Георгий Александрович\xa0– заместитель генерального\nдиректора\xa0– операционный директор АНО «Агентство стратегических инициатив по\xa0продвижению новых проектов»ВАЙНО Александр Антонович\xa0– директор направления «Молодые\nпрофессионалы» АНО «Агентство стратегических инициатив по\xa0продвижению новых\nпроектов»ЛЕВИЦКАЯ Ольга Сергеевна\xa0– корпоративный директор АНО\n«Агентство стратегических инициатив по\xa0продвижению новых проектов»,\nответственный секретарь Наблюдательного совета АНО «Агентство стратегических\nинициатив по\xa0продвижению новых проектов»ПЕСКОВ Дмитрий Николаевич\xa0– специальный представитель\nПрезидента Российской Федерации по\xa0вопросам цифрового и\xa0технологического\nразвития, директор направления «Технологии» АНО «Агентство стратегических\nинициатив по\xa0продвижению новых проектов»ХОМИЧ Михаил Викторович\xa0– заместитель директора направления\n«Новый бизнес» АНО «Агентство стратегических инициатив по\xa0продвижению новых\nпроектов»ЧЕРКЕС-ЗАДЕ Екатерина Вадимовна\xa0– директор дивизиона\nразвития креативной экономики АНО «Агентство стратегических инициатив по\xa0продвижению новых проектов»   Смотрите также  Заседание наблюдательного совета АСИ 23 января 2025 года', 'url': 'http://kremlin.ru/supplement/6260'}]"
Совещание по экономическим вопросам,2025-01-22,22 января 2025 года,"Московская область, Ново-Огарёво","Президент
в режиме видеоконференции провёл совещание по экономическим вопросам.",http://kremlin.ru/events/president/news/76145,"[{'title': 'No title', 'date': None, 'content': 'Участники совещания по\xa0экономическим вопросам (в\xa0режиме видеоконференции)  22 января 2025 года     МИШУСТИН Михаил Владимирович\xa0– Председатель Правительства Российской ФедерацииВАЙНО Антон Эдуардович\xa0– Руководитель Администрации Президента Российской ФедерацииМАНТУРОВ Денис Валентинович\xa0– Первый заместитель Председателя Правительства Российской ФедерацииГРИГОРЕНКО Дмитрий Юрьевич\xa0– Заместитель Председателя Правительства Российской Федерации\xa0– Руководитель Аппарата Правительства Российской ФедерацииНОВАК Александр Валентинович\xa0– Заместитель Председателя Правительства Российской ФедерацииХУСНУЛЛИН Марат Шакирзянович\xa0– Заместитель Председателя Правительства Российской ФедерацииЧЕРНЫШЕНКО Дмитрий Николаевич\xa0– Заместитель Председателя Правительства Российской ФедерацииОРЕШКИН Максим Станиславович\xa0– заместитель Руководителя Администрации Президента Российской ФедерацииАЛИХАНОВ Антон Андреевич\xa0– Министр промышленности и\xa0торговли Российской ФедерацииРЕШЕТНИКОВ Максим Геннадьевич\xa0– Министр экономического развития Российской ФедерацииСИЛУАНОВ Антон Германович\xa0– Министр финансов Российской ФедерацииФАЙЗУЛЛИН Ирек Энварович\xa0– Министр строительства и\xa0жилищно-коммунального хозяйстваЦИВИЛЕВ Сергей Евгеньевич\xa0– Министр энергетики Российской ФедерацииНАБИУЛЛИНА Эльвира Сахипзадовна\xa0– Председатель Центрального банка Российской Федерации   Смотрите также  Совещание по\xa0экономическим вопросам 22 января 2025 года', 'url': 'http://kremlin.ru/supplement/6259'}]"
Телефонный разговор с Президентом Египта Абдельфаттахом Сиси,2025-01-21,21 января 2025 года,No location,Состоялся телефонный разговор Владимира Путина с Президентом Арабской Республики Египет Абдельфаттахом Сиси.,http://kremlin.ru/events/president/news/76140,[]
Переговоры с Председателем КНР Си Цзиньпином,2025-01-21,21 января 2025 года,"Московская область, Ново-Огарёво","В формате
видеоконференции состоялись переговоры Владимира Путина с Председателем Китайской
Народной Республики Си Цзиньпином.",http://kremlin.ru/events/president/news/76137,[]
Совещание с постоянными членами Совета Безопасности,2025-01-20,20 января 2025 года,"Московская область, Ново-Огарёво","Президент в режиме
видеоконференции провёл оперативное совещание с постоянными членами Совета
Безопасности.",http://kremlin.ru/events/president/news/76135,[]
Телефонный разговор с Президентом Белоруссии Александром Лукашенко,2025-01-19,19 января 2025 года,No location,"Состоялся телефонный
разговор Владимира Путина с Президентом
Республики Беларусь Александром Лукашенко.",http://kremlin.ru/events/president/news/76134,[]
Встреча с президентом Национального медицинского исследовательского центра эндокринологии Иваном Дедовым,2025-01-18,18 января 2025 года,"Москва, Кремль","Владимир
Путин провёл встречу с президентом ФГБУ «Национальный медицинский исследовательский
центр эндокринологии» Министерства здравоохранения России, главным внештатным
эндокринологом Минздрава, академиком РАН Иваном Дедовым.",http://kremlin.ru/events/president/news/76131,[]
Пресс-конференция по итогам российско-иранских переговоров,2025-01-17,17 января 2025 года,"Москва, Кремль","По окончании переговоров Владимир Путин и Масуд
Пезешкиан дали совместную пресс-конференцию.",http://kremlin.ru/events/president/news/76126,[]
