title,date,raw_date,place,summary,url,supplement_url,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10,Name_11,Name_12,Name_13,Name_14,Name_15,Name_16,Name_17,Name_18,Name_19,Name_20,Name_21,Name_22,Name_23,Name_24,Name_25,Name_26,Name_27,Name_28,Name_29,Name_30,Name_31,Name_32,Name_33,Name_34,Name_35,Name_36,Name_37,Name_38,Name_39,Name_40,Name_41,Name_42,Name_43,Name_44,Name_45,Name_46,Name_47,Name_48,Name_49,Name_50,Name_51,Name_52,Name_53,Name_54,Name_55,Name_56,Name_57,Name_58,Name_59,Name_60,Name_61,Name_62,Name_63,Name_64
Владимир Путин и Эмомали Рахмон сделали заявления для СМИ,2025-03-17,17 марта 2025 года,"Москва, Кремль",По итогам российско-таджикистанских переговоров Владимир Путин и Эмомали Рахмон выступили с заявлениями для прессы.,http://kremlin.ru/events/president/news/76469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с постоянными членами Совета Безопасности,2025-03-28,28 марта 2025 года,"Москва, Кремль",Владимир Путин провёл по видеосвязи оперативное совещание с постоянными членами Совета Безопасности.,http://kremlin.ru/events/president/news/76564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом Турции Реджепом Тайипом Эрдоганом,2025-03-28,28 марта 2025 года,No location,Состоялся обстоятельный телефонный разговор Владимира Путина с Президентом Турецкой Республики Реджепом Тайипом Эрдоганом.,http://kremlin.ru/events/president/news/76565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Церемония запуска отгрузки угля из терминала «Лавна»,2025-03-27,27 марта 2025 года,Мурманск,В режиме видеоконференции Владимир Путин принял участие в церемонии начала отгрузки первой партии угля из перевалочного комплекса «Лавна».,http://kremlin.ru/events/president/news/76559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с участниками детских экспедиций «Росатома» на Северный полюс,2025-03-27,27 марта 2025 года,Мурманск,,http://kremlin.ru/events/president/news/76560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение Штаба морских операций «Атомфлота»,2025-03-27,27 марта 2025 года,Мурманск,,http://kremlin.ru/events/president/news/76558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Владимир Путин посетил атомный подводный крейсер «Архангельск»,2025-03-27,27 марта 2025 года,Мурманск,"Президент осмотрел центральный командный пост крейсера, каюту размещения экипажа и места хранения вооружения, а также пообщался с личным составом.",http://kremlin.ru/events/president/news/76557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Спуск на воду атомного подводного крейсера «Пермь»,2025-03-27,27 марта 2025 года,Мурманск,На территории «Атомфлота» Владимир Путин по видеосвязи принял участие в торжественной церемонии спуска на воду нового атомного подводного крейсера «Пермь».,http://kremlin.ru/events/president/news/76556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Мурманской области Андреем Чибисом,2025-03-27,27 марта 2025 года,Мурманск,Губернатор доложил Президенту о различных аспектах социально-экономического развития области и отдельно информировал о региональной поддержке участников СВО.,http://kremlin.ru/events/president/news/76555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Международный форум «Арктика – территория диалога»,2025-03-27,27 марта 2025 года,Мурманск,Владимир Путин выступил на пленарном заседании VI Международного арктического форума «Арктика – территория диалога».,http://kremlin.ru/events/president/news/76554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
