title,date,raw_date,place,summary,url,supplement_url,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10,Name_11,Name_12,Name_13,Name_14,Name_15,Name_16,Name_17,Name_18,Name_19,Name_20,Name_21,Name_22,Name_23,Name_24,Name_25,Name_26,Name_27,Name_28,Name_29,Name_30,Name_31,Name_32,Name_33,Name_34,Name_35,Name_36,Name_37,Name_38,Name_39,Name_40,Name_41,Name_42,Name_43,Name_44,Name_45,Name_46,Name_47,Name_48,Name_49,Name_50,Name_51,Name_52,Name_53,Name_54,Name_55,Name_56,Name_57,Name_58,Name_59,Name_60,Name_61,Name_62,Name_63,Name_64
Объявлены лауреаты премии Президента в области науки и инноваций для молодых учёных за 2024 год,2025-02-05,5 февраля 2025 года,Москва,Имена лауреатов на пресс-конференции объявили помощник Президента Андрей Фурсенко и председатель Координационного совета по делам молодёжи в научной и образовательной сферах Совета при Президенте по науке и образованию Никита Марченков.,http://kremlin.ru/events/president/news/76210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Тверской области Игорем Руденей,2025-02-04,4 февраля 2025 года,"Москва, Кремль",В Кремле состоялась рабочая встреча Владимира Путина с губернатором Тверской области Игорем Руденей.,http://kremlin.ru/events/president/news/76206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Министром просвещения Сергеем Кравцовым,2025-02-03,3 февраля 2025 года,"Москва, Кремль",Президент провёл рабочую встречу с Министром просвещения Сергеем Кравцовым.,http://kremlin.ru/events/president/news/76193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Патриархом Московским и всея Руси Кириллом,2025-02-01,1 февраля 2025 года,"Москва, Кремль",Владимир Путин поздравил предстоятеля Русской православной церкви с шестнадцатой годовщиной интронизации.,http://kremlin.ru/events/president/news/76191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с постоянными членами Совета Безопасности,2025-01-31,31 января 2025 года,"Московская область, Ново-Огарёво",Владимир Путин по видеосвязи провёл оперативное совещание с постоянными членами Совета Безопасности.,http://kremlin.ru/events/president/news/76187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Министром транспорта Романом Старовойтом,2025-01-30,30 января 2025 года,"Москва, Кремль",Глава государства провёл рабочую встречу с Министром транспорта Российской Федерации Романом Старовойтом.,http://kremlin.ru/events/president/news/76183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главой Дагестана Сергеем Меликовым,2025-01-29,29 января 2025 года,"Москва, Кремль",Владимир Путин провёл в Кремле рабочую встречу с главой Республики Дагестан Сергеем Меликовым.,http://kremlin.ru/events/president/news/76182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рабочая встреча с губернатором Самарской области Вячеславом Федорищевым,2025-01-28,28 января 2025 года,Тольятти,"Завершая поездку в Самарскую область, Владимир Путин провёл отдельную встречу с главой региона Вячеславом Федорищевым.",http://kremlin.ru/events/president/news/76176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание по развитию беспилотных авиационных систем,2025-01-28,28 января 2025 года,Тольятти,В Тольятти Президент провёл совещание по вопросам развития беспилотных авиационных систем. Встреча состоялась на базе научно-производственного центра беспилотных авиационных систем «Самара».,http://kremlin.ru/events/president/news/76175,http://kremlin.ru/supplement/6264,"САВЕЛЬЕВ Виталий Геннадьевич – Заместитель Председателя Правительства Российской Федерации, председатель Правительственной комиссии по вопросам развития беспилотных авиационных систем, куратор национального проекта «Беспилотные авиационные системы»",ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации,ФАЛЬКОВ Валерий Николаевич – Министр науки и высшего образования Российской Федерации,"ШАДАЕВ Максут Игоревич – Министр цифрового развития, связи и массовых коммуникаций Российской Федерации",КОМАРОВ Игорь Анатольевич – полномочный представитель Президента Российской Федерации в Приволжском федеральном округе,"ФЕДОРИЩЕВ Вячеслав Андреевич – губернатор Самарской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Промышленность»",СОБЯНИН Сергей Семенович – мэр Москвы,КРИВОРУЧКО Алексей Юрьевич – заместитель Министра обороны Российской Федерации,ЯДРОВ Дмитрий Викторович – руководитель Федерального агентства воздушного транспорта,"ПЕСКОВ Дмитрий Николаевич – специальный представитель Президента Российской Федерации по вопросам цифрового и технологического развития, генеральный директор АНО «Платформа Национальной технологической инициативы»","ГРЕФ Герман Оскарович – президент, председатель правления ПАО «Сбербанк»",ДИТРИХ Евгений Иванович – генеральный директор АО «Государственная транспортная лизинговая компания»,КОЗАРЕНКО Юрий Владимирович – генеральный директор ООО «Транспорт Будущего»,ШАЛЬКОВ Дмитрий Владиславович – помощник Президента Российской Федерации – начальник Контрольного управления Президента Российской Федерации,РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,СТАРОВОЙТ Роман Владимирович – Министр транспорта Российской Федерации,БОРТНИКОВ Александр Васильевич – директор Федеральной службы безопасности Российской Федерации,"КОТЮКОВ Михаил Михайлович – губернатор Красноярского края, председатель комиссии Государственного Совета Российской Федерации по направлению «Технологическое лидерство»",БОРИСОВ Юрий Иванович – генеральный директор Государственной корпорации по космической деятельности «Роскосмос»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение научно-производственного центра беспилотных авиационных систем «Самара»,2025-01-28,28 января 2025 года,Тольятти,"Владимир Путин посетил научно-производственный центр «Самара», который создан в рамках реализации национального проекта «Беспилотные авиационные системы» и является основой кластера беспилотной авиации в Самарской области.",http://kremlin.ru/events/president/news/76173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение завода «АвтоВАЗ»,2025-01-28,28 января 2025 года,Тольятти,В ходе поездки в Самарскую область Президент посетил завод акционерного общества «АвтоВАЗ».,http://kremlin.ru/events/president/news/76172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом Бразилии Луисом Инасио Лулой да Силвой,2025-01-27,27 января 2025 года,No location,По инициативе бразильской стороны состоялся телефонный разговор Владимира Путина с Президентом Федеративной Республики Бразилии Луисом Инасио Лулой да Силвой.,http://kremlin.ru/events/president/news/76169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Санкт-Петербурга Александром Бегловым,2025-01-27,27 января 2025 года,Санкт-Петербург,Владимир Путин провёл рабочую встречу с губернатором Санкт-Петербурга Александром Бегловым.,http://kremlin.ru/events/president/news/76168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Концерт «Ленинградская Победа»,2025-01-27,27 января 2025 года,Санкт-Петербург,"На концерте «Ленинградская Победа», посвящённом 80-летию Победы и 81-й годовщине освобождения Ленинграда от фашистской блокады, Владимир Путин вручил ветеранам юбилейные медали «80 лет Победы в Великой Отечественной войне 1941–1945 гг.».",http://kremlin.ru/events/president/news/76167,http://kremlin.ru/supplement/6263,БЕРЧИКОВ Владимир Алексеевич (1924 г. р.) – участник обороны Ленинграда и Москвы,"ЗАБЕЖИНСКИЙ Аркадий Давидович (1922 г. р.) – участник обороны Москвы, участник Сталинградской битвы, Ростовской, Донбасской, Крымской наступательных операций",ЛЕЩУК Александра Петровна (1926 г. р.) – участник обороны Ленинграда,"МЕРКИН Зиновий Леонидович (1924 г. р.) – участник обороны Ленинграда, боев на Курской дуге и на территории Украины, Польши, Румынии и Германии",МОРОЗ Михаил Николаевич (1927 г. р.) – участник боев на территории Белоруссии,"ТИХОМИРОВА Елена Сергеевна (1934 г. р.) – житель блокадного Ленинграда, председатель правления Санкт-Петербургской общественной организации «Жители блокадного Ленинграда»","ТУТУРОВА Екатерина Ивановна (1922 г. р.) – участник обороны Ленинграда, операций по освобождению Эстонии, Польши и Восточной Пруссии",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Памятные мероприятия, посвящённые 81-й годовщине снятия блокады Ленинграда",2025-01-27,27 января 2025 года,"Ленинградская область, Санкт-Петербург","Владимир Путин принял участие в памятных мероприятиях, посвящённых 81-й годовщине полного освобождения Ленинграда от фашистской блокады.",http://kremlin.ru/events/president/news/76165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом Белоруссии Александром Лукашенко,2025-01-27,27 января 2025 года,No location,,http://kremlin.ru/events/president/news/76166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ответы на вопросы журналиста Павла Зарубина,2025-01-24,24 января 2025 года,Москва,,http://kremlin.ru/events/president/news/76153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Заседание попечительского совета МГУ,2025-01-24,24 января 2025 года,Москва,Владимир Путин провёл заседание попечительского совета Московского государственного университета имени М.В.Ломоносова.,http://kremlin.ru/events/president/news/76151,http://kremlin.ru/supplement/6262,ХУСНУЛЛИН Марат Шакирзянович – Заместитель Председателя Правительства Российской Федерации,ЧЕРНЫШЕНКО Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,ДЮМИН Алексей Геннадьевич – помощник Президента Российской Федерации,ФУРСЕНКО Андрей Александрович – помощник Президента Российской Федерации,АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,ФАЛЬКОВ Валерий Николаевич – Министр науки и высшего образования Российской Федерации,ЦИВИЛЕВ Сергей Евгеньевич – Министр энергетики Российской Федерации,НАБИУЛЛИНА Эльвира Сахипзадовна – Председатель Центрального банка Российской Федерации,КРАСНИКОВ Геннадий Яковлевич – президент Российской академии наук,ВОРОБЬЁВ Андрей Юрьевич – губернатор Московской области,СОБЯНИН Сергей Семёнович – мэр Москвы,ТЕРЕШКОВА Валентина Владимировна – депутат Государственной Думы Федерального Собрания Российской Федерации,"САДОВНИЧИЙ Виктор Антонович – ректор Московского государственного университета имени М.В.Ломоносова, секретарь попечительского совета",БЕРЁЗКИН Григорий Викторович – председатель совета директоров группы компаний «ЕСН»,БОКЕРИЯ Лео Антонович – президент ФГБУ «Национальный медицинский исследовательский центр сердечно-сосудистой хирургии имени А.Н.Бакулева» Министерства здравоохранения Российской Федерации,ГАГАРИНА Елена Юрьевна – генеральный директор Государственного историко-культурного музея-заповедника «Московский Кремль»,ГУЦЕРИЕВ Михаил Сафарбекович – президент АО «Группа Сафмар»,ДЕРИПАСКА Олег Владимирович – основатель фонда «Вольное Дело»,ДМИТРИЕВ Кирилл Александрович – генеральный директор Российского фонда прямых инвестиций,ЕВТУШЕНКОВ Владимир Петрович – основатель ПАО «Акционерная финансовая корпорация «Система»,КОСТИН Андрей Леонидович – президент – председатель правления ПАО «Банк ВТБ»,ЛИХАЧЁВ Алексей Евгеньевич – генеральный директор Государственной корпорации по атомной энергии «Росатом»,МИЛЛЕР Алексей Борисович – председатель правления ПАО «Газпром»,"СЕЧИН Игорь Иванович – главный исполнительный директор, председатель правления ПАО «НК «Роснефть»","ТОКАРЕВ Николай Петрович – председатель правления, президент ПАО «Транснефть»","ЧЕМЕЗОВ Сергей Викторович – генеральный директор Государственной корпорации по содействию разработке, производству и экспорту высокотехнологичной промышленной продукции «Ростех»",ШУВАЛОВ Игорь Иванович – председатель Государственной корпорации «Банк развития и внешнеэкономической деятельности (Внешэкономбанк)»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение Московского государственного университета имени Ломоносова,2025-01-24,24 января 2025 года,Москва,"В преддверии Дня российского студенчества и 270-летия Московского университета, отмечаемых 25 января, Владимир Путин посетил Музей истории МГУ имени М.В.Ломоносова и вручил коллективу университета орден «За доблестный труд».",http://kremlin.ru/events/president/news/76150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с членами Правительства,2025-01-23,23 января 2025 года,"Московская область, Ново-Огарёво",Президент в режиме видеоконференции провёл совещание с членами Правительства.,http://kremlin.ru/events/president/news/76148,http://kremlin.ru/supplement/6261,ВАЙНО Антон Эдуардович – Руководитель Администрации Президента Российской Федерации,МАНТУРОВ Денис Валентинович – Первый заместитель Председателя Правительства Российской Федерации,ГОЛИКОВА Татьяна Алексеевна – Заместитель Председателя Правительства Российской Федерации,ГРИГОРЕНКО Дмитрий Юрьевич – Заместитель Председателя Правительства Российской Федерации – Руководитель Аппарата Правительства Российской Федерации,НОВАК Александр Валентинович – Заместитель Председателя Правительства Российской Федерации,ОВЕРЧУК Алексей Логвинович – Заместитель Председателя Правительства Российской Федерации,ПАТРУШЕВ Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,САВЕЛЬЕВ Виталий Геннадьевич – Заместитель Председателя Правительства Российской Федерации,ТРУТНЕВ Юрий Петрович – Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,ХУСНУЛЛИН Марат Шакирзянович – Заместитель Председателя Правительства Российской Федерации,ЧЕРНЫШЕНКО Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,КРАСНОВ Игорь Викторович – Генеральный прокурор Российской Федерации,ДЮМИН Алексей Геннадьевич – помощник Президента Российской Федерации,ЭДЕЛЬГЕРИЕВ Руслан Сайд-Хусайнович – помощник Президента Российской Федерации,"КУРЕНКОВ Александр Вячеславович – Министр Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",КОЗЛОВ Александр Александрович – Министр природных ресурсов и экологии Российской Федерации,КОТЯКОВ Антон Олегович – Министр труда и социальной защиты Российской Федерации,СТАРОВОЙТ Роман Владимирович – Министр транспорта Российской Федерации,ФАЙЗУЛЛИН Ирек Энварович – Министр строительства и жилищно-коммунального хозяйства Российской Федерации,АКСЁНОВ Сергей Валерьевич – глава Республики Крым,КОНДРАТЬЕВ Вениамин Иванович – губернатор Краснодарского края,ПАСЛЕР Денис Владимирович – губернатор Оренбургской области,РАЗВОЖАЕВ Михаил Владимирович – губернатор города Севастополя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Юрий Борисов назначен специальным представителем Президента по вопросам международного сотрудничества в области космоса,2025-02-18,18 февраля 2025 года,No location,Президент подписал Указы «О Крикалеве С.К.» и «О специальном представителе Президента Российской Федерации по вопросам международного сотрудничества в области космоса».,http://kremlin.ru/events/president/news/76283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с членами Правительства,2025-02-18,18 февраля 2025 года,Санкт-Петербург,Президент провёл совещание с членами Правительства. Встреча прошла в формате видеоконференции в ходе рабочей поездки главы государства в Санкт-Петербург.,http://kremlin.ru/events/president/news/76282,http://kremlin.ru/supplement/6267,МИШУСТИН Михаил Владимирович – Председатель Правительства Российской Федерации,ВАЙНО Антон Эдуардович – Руководитель Администрации Президента Российской Федерации,МАНТУРОВ Денис Валентинович – Первый заместитель Председателя Правительства Российской Федерации,КИРИЕНКО Сергей Владиленович – Первый заместитель Руководителя Администрации Президента Российской Федерации,ГОЛИКОВА Татьяна Алексеевна – Заместитель Председателя Правительства Российской Федерации,ГРИГОРЕНКО Дмитрий Юрьевич – Заместитель Председателя Правительства Российской Федерации – Руководитель Аппарата Правительства Российской Федерации,НОВАК Александр Валентинович – Заместитель Председателя Правительства Российской Федерации,ПАТРУШЕВ Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,САВЕЛЬЕВ Виталий Геннадьевич – Заместитель Председателя Правительства Российской Федерации,ТРУТНЕВ Юрий Петрович – Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,ХУСНУЛЛИН Марат Шакирзянович – Заместитель Председателя Правительства Российской Федерации,ЧЕРНЫШЕНКО Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,ДЮМИН Алексей Геннадьевич – помощник Президента Российской Федерации,КОЗЛОВ Александр Александрович – Министр природных ресурсов и экологии Российской Федерации,"ШАДАЕВ Максут Игоревич – Министр цифрового развития, связи и массовых коммуникаций Российской Федерации",БЕСПРОЗВАННЫХ Алексей Сергеевич – губернатор Калининградской области,"ВОСКРЕСЕНСКИЙ Станислав Сергеевич – губернатор Ивановской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Продолжительная и активная жизнь»",ХИНШТЕЙН Александр Евсеевич – временно исполняющий обязанности губернатора Курской области,ВОЛКОВ Михаил Юрьевич – генеральный директор АО «Почта России»,КУЗНЕЦОВ Михаил Михайлович – руководитель исполнительного комитета Общероссийского общественного движения «Народный фронт «За Россию»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Камчатского края Владимиром Солодовым,2025-02-17,17 февраля 2025 года,"Москва, Кремль",Владимир Путин провёл рабочую встречу с губернатором Камчатского края Владимиром Солодовым. Глава региона доложил Президенту о социально-экономическом развитии Камчатского края.,http://kremlin.ru/events/president/news/76279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Президент поздравил Виталия Смирнова с юбилеем,2025-02-14,14 февраля 2025 года,No location,,http://kremlin.ru/events/president/news/76275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с постоянными членами Совета Безопасности,2025-02-14,14 февраля 2025 года,"Московская область, Ново-Огарёво",Владимир Путин провёл по видеосвязи оперативное совещание с постоянными членами Совета Безопасности.,http://kremlin.ru/events/president/news/76272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Севастополя Михаилом Развожаевым,2025-02-14,14 февраля 2025 года,"Московская область, Ново-Огарёво",Президент в режиме видеоконференции провёл рабочую встречу с губернатором Севастополя Михаилом Развожаевым. Глава региона представил подробный доклад о социально-экономическом развитии города федерального значения за последние пять лет.,http://kremlin.ru/events/president/news/76271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Брянской области Александром Богомазом,2025-02-13,13 февраля 2025 года,"Московская область, Ново-Огарёво",Владимир Путин по видеосвязи провёл рабочую встречу с губернатором Брянской области Александром Богомазом.,http://kremlin.ru/events/president/news/76262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом США Дональдом Трампом,2025-02-12,12 февраля 2025 года,No location,Состоялся телефонный разговор Владимира Путина с Президентом Соединённых Штатов Америки Дональдом Трампом.,http://kremlin.ru/events/president/news/76259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом переходного периода Сирийской Арабской Республики Ахмедом Шараа,2025-02-12,12 февраля 2025 года,No location,Состоялся телефонный разговор Владимира Путина с Президентом переходного периода Сирийской Арабской Республики Ахмедом Шараа.,http://kremlin.ru/events/president/news/76258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Калужской области Владиславом Шапшой,2025-02-11,11 февраля 2025 года,"Москва, Кремль","Владимир Путин провёл рабочую встречу с главой Калужской области Владиславом Шапшой. Губернатор доложил Президенту о социально-экономическом развитии области, в частности работе Калужского автомобильного кластера в условиях санкций.",http://kremlin.ru/events/president/news/76250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главой Донецкой Народной Республики Денисом Пушилиным,2025-02-10,10 февраля 2025 года,"Москва, Кремль",Владимир Путин провёл рабочую встречу с главой ДНР Денисом Пушилиным. Обсуждались вопросы социально-экономического развития региона.,http://kremlin.ru/events/president/news/76243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Принята отставка Андрея Никитина,2025-02-07,7 февраля 2025 года,No location,Президент подписал Указ «О досрочном прекращении полномочий Губернатора Новгородской области».,http://kremlin.ru/events/president/news/76232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с постоянными членами Совета Безопасности,2025-02-07,7 февраля 2025 года,"Москва, Кремль",Владимир Путин по видеосвязи провёл оперативное совещание с постоянными членами Совета Безопасности.,http://kremlin.ru/events/president/news/76224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Председателем Правительства Михаилом Мишустиным,2025-02-07,7 февраля 2025 года,"Москва, Кремль",Президент провёл рабочую встречу с Председателем Правительства Российской Федерации Михаилом Мишустиным.,http://kremlin.ru/events/president/news/76227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
